,train,test,kappa,train acc,test acc
0,0.38611643256377975,0.3226604161966116,0.7331069439310306,0.44180447979903703,0.5075187969924813
1,0.4068604352770989,0.3772118964925745,0.7500837408722449,0.4168934477705673,0.4859022556390977
2,0.3388942181004141,0.2823794969826713,0.7895332943285981,0.5045007326774126,0.5789473684210527
3,0.3201091318449715,0.2809842706734973,0.7863962802143846,0.5354825204102993,0.5930451127819549
4,0.2997760843719399,0.2670471006654259,0.8235586157290252,0.5609168934477705,0.6174812030075187
5,0.3875723804577125,0.3136477948243457,0.7557472344437798,0.4501779359430605,0.5338345864661654
6,0.33847546589923205,0.2752681813741985,0.8159595021488402,0.5161189030772452,0.5761278195488722
7,0.3858649504920429,0.3091025910991475,0.7950019394719685,0.44389784383504294,0.5451127819548872
8,0.40533995590948163,0.3450711269799928,0.7310874888037294,0.41584676575256435,0.5159774436090225
9,0.36687030193695963,0.30085616306702895,0.7865795571881974,0.4699602260833159,0.5488721804511278
10,0.34746449058524737,0.29470090999415044,0.772191370327368,0.4912078710487754,0.5629699248120301
11,0.3309543383607805,0.37971611763525726,0.6672705093403688,0.514653548252041,0.47462406015037595
12,0.32332081691241166,0.2967678710706252,0.7962925453347766,0.5364245342265019,0.5855263157894737
13,0.30823603526817706,0.30348646220632064,0.8265531479450731,0.5511827506803433,0.543233082706767
14,0.29858927411888436,0.306932110731539,0.7428292560694179,0.5619635754657735,0.5892857142857143
15,0.29287227288387313,0.262280932326514,0.8059190661668737,0.5737910822692066,0.6193609022556391
16,0.28005933345735823,0.2551137026315345,0.834669164548163,0.5884446305212476,0.6118421052631579
17,0.2728480876863751,0.29569536282267783,0.7514106196870765,0.602156164957086,0.5939849624060151
18,0.27201827767005027,0.2490398656380804,0.8170261934844586,0.6002721373246808,0.6090225563909775
19,0.26222383420462386,0.23681121826507992,0.8513164210092888,0.6091689344777057,0.6390977443609023
20,0.25796096268184016,0.23186312705502474,0.8347237814513512,0.6099016118903077,0.6494360902255639
21,0.251398897888022,0.22812390601948687,0.8514450122900143,0.6202637638685368,0.6325187969924813
22,0.24677987519230804,0.2363395467960745,0.8367155248145018,0.6343939711115762,0.6466165413533834
23,0.2443230502307415,0.22109847120884665,0.8489184272980586,0.6326146116809713,0.6541353383458647
24,0.23771323288584353,0.21649474306102084,0.8482538994377754,0.6381620263763869,0.6494360902255639
25,0.23164456392868293,0.21753727689497454,0.8625728266229679,0.6381620263763869,0.6513157894736842
26,0.23428605205406702,0.21693987802679376,0.8590643475065685,0.6511408833996232,0.6466165413533834
27,0.2330738159901926,0.21688979186285706,0.8626188967831,0.6509315469960226,0.6475563909774437
28,0.23005532011950863,0.21139530697487352,0.8587445969330432,0.6515595562068244,0.6522556390977443
29,0.22574519092318404,0.21075659152820594,0.8613247452726047,0.6545949340590329,0.6607142857142857
