,train,test,kappa
0,0.5727768426703423,0.5294029232281358,0.3419184544727819
1,0.5087263943608274,0.513204825458242,0.38836783816968357
2,0.4940842737714796,0.5001688245961915,0.44315235270034403
3,0.4840265243512879,0.4874969002471041,0.47279488569264616
4,0.4788125897805715,0.48001153589184603,0.47515848879928135
5,0.47402250643857974,0.4780235437314902,0.4766536199062207
6,0.4670701343137815,0.4721301562750517,0.5082007828469832
7,0.4651518766365762,0.4632800443848567,0.5086557458104011
8,0.46429832335221777,0.45406579726667545,0.5355564986544528
9,0.4590618994550796,0.45201778189459846,0.5548680106881976
10,0.45477244347735685,0.4488406087925185,0.5451784544357974
11,0.4489444466241289,0.44774177803922055,0.5688205001322648
12,0.45143186332307855,0.4432500732034,0.5607969255371553
13,0.4464604138713522,0.4369413247748987,0.5663335267213891
14,0.44503609430780494,0.43464143062705424,0.5654763907600744
15,0.4391503656766038,0.4337546009181151,0.5736098154293069
16,0.4388062149688046,0.4276072556403146,0.5932369226244676
17,0.43579642788981937,0.4194542000542826,0.6177746833668791
18,0.43381535294366014,0.4185161468253207,0.6187363392609877
19,0.43007559960886754,0.4141793468994881,0.6194031141369829
20,0.42772771181755836,0.4120457797352947,0.6239862717024433
21,0.4251173054836365,0.4051840921391302,0.6386136609159442
22,0.4240782614575786,0.4037427577509809,0.6479079846641107
23,0.4263220083538641,0.40317599341940524,0.6281929666811776
24,0.41921093167765194,0.3963192054140034,0.6530199304420874
25,0.4148620889477083,0.3996501831866022,0.6441822520837446
26,0.4145911115795539,0.39527684472390073,0.6500643936993242
27,0.41423153911527427,0.39174649341782525,0.6561757033365687
28,0.41212174721788924,0.38766519658601106,0.6606801411056419
29,0.41144563076895063,0.3864304705787061,0.6669034298936762
30,0.4104282522986183,0.38293220525357263,0.6668244077787899
31,0.405384102468449,0.379220294641025,0.6767894125246909
32,0.404941390505582,0.3780869725924819,0.6781978043813025
33,0.4024751342354456,0.3772352840473403,0.6760580094976553
34,0.40378000900964717,0.37592228668839184,0.6846200491335634
35,0.40240419087643475,0.3743702753711103,0.6898588136888708
36,0.4029439322703609,0.37249234318733215,0.6886384988974712
37,0.4007616476181667,0.3676906452694936,0.69874532012475
38,0.3983417022190427,0.3677728967880135,0.700578877119668
39,0.4005790001149219,0.3706004145874906,0.6984398891925586
40,0.3948749777086191,0.36625916966751443,0.7074573436056852
41,0.39444944848624797,0.36825722144610845,0.7124493470472532
42,0.3939338777270419,0.3622851342852436,0.7061669349614244
43,0.3991696606024592,0.36420984944300866,0.7031221067883846
44,0.3946791899691112,0.3594014442233897,0.7090218687600096
45,0.39288637258295595,0.35973559253251375,0.6972148470215078
46,0.3916168462109887,0.3592366776359615,0.6970206540836871
47,0.39392720632001016,0.35938578065651566,0.7130064731601771
48,0.39006873045905444,0.3656351328340929,0.6938525001766843
49,0.3907147894342394,0.35455302916355985,0.7170330238036644
