train,test,kappa,train kappa,train acc,test acc
0.2153849572616923,0.21916490108659067,0.8595242561932228,0.0,0.6685158048984718,0.6911487758945386
0.17893281063184224,0.1730801000519867,0.8903607636790949,0.0,0.7133137952689973,0.7175141242937854
0.16811149234405154,0.1818373923464016,0.8820672806547012,0.0,0.7315260623822483,0.7109227871939736
0.1616398852030825,0.1898470420759596,0.8857041447319547,0.0,0.7386435001046682,0.7250470809792844
0.16094976850848078,0.17490339868074745,0.8968083541221721,0.0,0.7461796106342893,0.7212806026365348
0.17230040721291995,0.1959154859684288,0.8736912349547469,0.0,0.7230479380364245,0.7109227871939736
0.1664605037129514,0.18329135153177395,0.8839103796056447,0.0,0.73571279045426,0.7118644067796609
0.1619400688721504,0.1771366389405261,0.8886554607952152,0.0,0.7350847812434582,0.7165725047080981
0.15819718875478234,0.1784756216832955,0.8953559977133609,0.0,0.7454469332216872,0.7429378531073446
0.15413539340975313,0.17669001611499202,0.8956647674937595,0.0,0.7462842788360896,0.7306967984934086
0.14967918135175093,0.17937498285660447,0.8978230559300677,0.0,0.7515176889261043,0.7278719397363466
0.13187019950031637,0.19688945141848502,0.8961228553677536,0.9338663916371177,0.776428720954574,0.7476459510357816
0.12651270705663678,0.17179081233423518,0.9069935675092476,0.9363902081528249,0.784278836089596,0.7457627118644068
0.1223934199111115,0.1723881190643372,0.9068109671510101,0.9394822761999242,0.7905589281976135,0.7419962335216572
0.11631255829589787,0.17243378192428394,0.9011653986149817,0.9453780792268881,0.8011304165794432,0.7523540489642184
0.11329315291090526,0.17482131476662685,0.9115540503025928,0.9483409830434247,0.8065731630730584,0.7570621468926554
0.11330980049380705,0.17312342676302514,0.8969112870778261,0.9463886667058806,0.8009210801758426,0.7523540489642184
0.10876259854854314,0.1706467591588501,0.9029068101041806,0.9503930606551223,0.8051078082478543,0.7598870056497176
0.10515330929599291,0.176721083345602,0.9104837515402763,0.9527324879969624,0.8137952689972786,0.7570621468926554
0.1022131226116782,0.17126587056061568,0.906999864130736,0.9555833547580597,0.8211220431232992,0.7702448210922788
0.10277843694249401,0.1759801024010689,0.9079624882332831,0.9542111412441728,0.8208080385178983,0.7580037664783428
0.0995256538144851,0.17298758834354463,0.9030288975262919,0.9577875055413491,0.8218547205359011,0.7598870056497176
0.09906003166495556,0.17158263626358455,0.9087891025863675,0.9563053588005663,0.8237387481683065,0.7664783427495292
0.09602505778636428,0.17506441307230458,0.9037090625923963,0.959316836623429,0.8346242411555369,0.7693032015065914
0.09698927926131286,0.17161979608331138,0.9097345669611289,0.9570272637437863,0.8291814946619217,0.7702448210922788
0.09410485678970178,0.173981771845335,0.906232010541703,0.9600971060229488,0.8345195729537367,0.7627118644067796
